Ia,Ib,VDC,IDC,T1,T2,T3,VD,FDD
1.5,-5.2,-18.5,2.1,35.2,34.8,33.9,-8.2,F0
2.1,-4.8,-22.1,1.8,42.5,41.2,40.1,-6.5,F0
18.4,3.2,-85.0,-12.5,78.2,76.5,75.1,12.3,F2
0.8,-6.1,25.4,3.5,28.1,27.9,27.4,-5.2,F0
-2.5,19.1,45.2,8.4,68.5,67.2,66.8,5.1,F1
3.2,-3.9,-15.8,1.9,38.4,37.1,36.5,-9.8,F0
25.6,-1.2,12.4,4.2,55.8,54.3,52.9,3.8,F3
1.1,-5.5,-19.2,2.3,33.8,33.1,32.4,-7.1,F0
-8.2,22.4,-92.5,-15.6,82.1,80.4,79.2,15.8,F7
4.5,4.2,210.5,5.1,29.5,28.8,28.2,2.3,F6
0.9,-5.8,-17.4,2.0,36.2,35.5,34.9,-6.8,F0
19.8,2.5,-78.3,-11.2,71.4,70.1,68.9,9.5,F2
2.8,-4.1,-12.6,1.6,40.8,39.5,38.7,-5.5,F0
-1.2,17.5,38.9,7.8,62.3,61.0,59.8,4.2,F1
1.4,-5.0,-20.5,2.4,34.1,33.4,32.6,-8.5,F0
26.1,-2.8,8.9,3.9,52.4,51.2,49.8,2.1,F3
0.6,-6.4,-16.2,1.7,39.5,38.2,37.4,-7.9,F0
-5.4,20.8,-88.1,-13.9,75.6,74.2,72.8,11.4,F7
3.9,3.8,185.2,4.7,31.2,30.5,29.8,1.8,F6
1.8,-4.5,-14.0,1.5,41.6,40.3,39.5,-4.9,F0
