PhaseA_Current,PhaseB_Current,DC_Bus_Volt,DC_Current,Temp_HS,Temp_Internal,Temp_Ambient,V_Delta,Alarm_L,Relay_Status
1.6,-5.1,235.4,2.3,36.5,35.2,34.1,-4.2,0,on
2.3,-4.6,228.9,1.9,41.8,40.5,39.2,-5.8,0,on
17.8,2.9,-82.3,-11.8,79.4,77.8,76.5,11.5,1,off
0.7,-6.2,232.1,3.4,27.8,27.1,26.4,-3.1,0,on
-1.9,18.4,45.6,7.9,66.2,64.8,63.5,4.8,0,on
3.1,-3.7,238.5,1.8,37.2,36.1,35.4,-6.4,0,on
24.5,-1.5,12.8,4.1,54.3,53.1,51.8,2.9,0,on
1.0,-5.6,234.2,2.2,33.5,32.8,32.0,-5.5,0,on
-7.8,21.5,-91.2,-14.2,83.5,81.9,80.2,13.6,1,off
4.2,3.9,195.8,4.8,30.1,29.4,28.7,1.5,0,on
0.8,-5.9,236.7,2.1,35.8,34.9,34.2,-4.8,0,on
18.9,2.4,-79.5,-10.9,70.8,69.4,68.1,8.7,0,on
2.5,-4.3,231.4,1.7,39.2,38.1,37.3,-5.2,0,on
-2.1,16.8,42.3,7.2,60.5,59.2,57.9,3.8,0,on
1.3,-5.2,233.8,2.5,34.8,34.0,33.2,-6.1,0,on
25.4,-2.5,9.4,3.7,51.8,50.6,49.3,1.8,0,on
0.5,-6.5,237.1,1.6,38.6,37.5,36.7,-5.9,0,on
-4.8,19.9,-85.6,-12.8,74.2,72.8,71.5,10.2,1,off
3.6,3.5,188.4,4.5,29.8,29.1,28.4,0.9,0,on
1.7,-4.7,230.5,1.4,40.1,39.0,38.2,-4.3,0,on
