current_phase_a_mA,current_phase_b,voltage_dc_mv,current_dc,TEMP_HS_F,T2_internal,ambient_temp_f,vdiff,object_distance_r,alarm_right
1500,-5200, -18500,2100,95.4,94.6,93.0,-8200,85,0
2100,-4800,-22100,1800,108.5,106.2,104.2,-6500,120,0
18400,3200,-85000,-12500,172.8,169.7,167.2,12300,8,1
800,-6100,25400,3500,82.6,82.2,81.3,-5200,95,0
-2500,19100,45200,8400,155.3,152.6,151.0,5100,15,0
3200,-3900,-15800,1900,100.1,99.0,98.1,-9800,110,0
25600,-1200,12400,4200,132.4,130.1,129.0,3800,95,0
1100,-5500,-19200,2300,92.8,92.0,91.3,-7100,100,0
-8200,22400,-92500,-15600,179.8,176.7,174.6,15800,5,1
4500,4200,210500,5100,85.1,84.2,83.6,2300,130,0
900,-5800,-17400,2000,97.2,96.1,95.4,-6800,88,0
19800,2500,-78300,-11200,160.5,158.2,156.8,9500,22,0
2800,-4100,-12600,1600,105.4,103.9,102.7,-5500,105,0
-1200,17500,38900,7800,144.1,142.0,141.0,4200,18,0
1400,-5000,-20500,2400,93.4,92.5,91.7,-8500,92,0
26100,-2800,8900,3900,126.3,124.8,123.0,2100,75,0
600,-6400,-16200,1700,103.1,101.8,100.9,-7900,115,0
-5400,20800,-88100,-13900,168.1,165.6,164.0,11400,12,1
3900,3800,185200,4700,88.6,87.7,86.6,1800,140,0
1800,-4500,-14000,1500,106.9,105.5,104.3,-4900,98,0
